Parameter,ImplementedValue,Unit,CodeLocation,Role,ProvenanceClass,Source,VerifiedRangeLow,VerifiedRangeHigh,RangeStatus,MayOptimizeForTask,Notes
domain_Lx,1000,um,"BSimHybridDish.java:39 BOUND_X",geometry,ENGINEERING_DESIGN,HybridDish claim dish inherited from Stage 3B/Narma10b,,,PHYSICALLY_CONSTRAINED,no,Fixed claim geometry. Changing Lx changes transit times and is a new architecture.
domain_Ly,500,um,"BSimHybridDish.java:39 BOUND_Y",geometry,ENGINEERING_DESIGN,HybridDish claim dish,,,PHYSICALLY_CONSTRAINED,no,Fixed claim geometry.
domain_Lz,10,um,"BSimHybridDish.java:39 BOUND_Z",geometry,ENGINEERING_DESIGN,HybridDish claim dish; one z-box field,,,PHYSICALLY_CONSTRAINED,no,Field is effectively 2D because grid.z=1.
dt,0.05,s,"BSimHybridDish.java:40; sim_config.properties dt",integrator,ENGINEERING_DESIGN,Frozen HybridDish config,,,NO_DEFENSIBLE_RANGE,no,Numerical step. Not a biological clock.
grid_x,50,boxes,"BSimHybridDish.java:41; sim_config.properties grid.x",discretization,ENGINEERING_DESIGN,Frozen HybridDish config; dx=20 um,,,NO_DEFENSIBLE_RANGE,no,Chemical voxel size is derived: 1000/50=20 um.
grid_y,25,boxes,"BSimHybridDish.java:41; sim_config.properties grid.y",discretization,ENGINEERING_DESIGN,Frozen HybridDish config; dy=20 um,,,NO_DEFENSIBLE_RANGE,no,Chemical voxel size is derived: 500/25=20 um.
grid_z,1,boxes,"BSimHybridDish.java:41; sim_config.properties grid.z",discretization,ENGINEERING_DESIGN,Frozen HybridDish config; dz=10 um,,,NO_DEFENSIBLE_RANGE,no,Single z box. Reduced model is 2D.
readout_grid,20x10x1,boxes,"BSimHybridDish.java:42; sim_config.properties readout.grid.*",observation,ENGINEERING_DESIGN,VoxelAnalyzer 20x10 readout,,,NO_DEFENSIBLE_RANGE,no,Observation map not a physical parameter.
count_grid,4x2x1,boxes,"BSimHybridDish.java:43; sim_config.properties readout.countgrid.*",observation,ENGINEERING_DESIGN,Coarse occupancy/count grid,,,NO_DEFENSIBLE_RANGE,no,Occupancy binning only.
voxel_volume,4000,um3,derived from domain/grid,unit conversion,DERIVED,dx*dy*Lz=20*20*10,,,PHYSICALLY_CONSTRAINED,no,Used for source-to-concentration conversion.
molecules_per_um3_per_uM,602.2,molecules/um3/uM,"BSimHybridDish.java:79 MOLECULES_PER_UM3_PER_UM",unit conversion,DERIVED,"Avogadro scaling used throughout HybridDish; 1 uM = 602.2 molecules/um3",,,PHYSICALLY_CONSTRAINED,no,Do not retune. Acid mM uses 602.2*1000.
AHL_D,159,um2/s,"BSimHybridDish.java:44; sim_config.properties field.ahl.diff",AHL transport,LITERATURE_CANDIDATE_UNVERIFIED,"BSimEntrainment_PIDCtrl.java comment: manuscript on proposed model. ECOLI_MECHANISM_AUDIT.md: no verified um2/s for 3-oxo-C6-HSL",,,NO_DEFENSIBLE_RANGE,no,Not a HybridDish wet-lab measurement. Hypothetical screen arms 80 and 240 are design envelopes only.
AHL_decay,0.0033,1/s,"BSimHybridDish.java:46; sim_config.properties field.ahl.decay",AHL transport,ENGINEERING_DESIGN,"Chosen so 1/k ~303 s matches the 300 s window. In-code literature candidate for extracellular AHL is 2.76e-3 min^-1 (half-life ~12.6 h) in BSimEntrainment_PIDCtrl; that is not this value",,,NO_DEFENSIBLE_RANGE,no,Stage 8 ~4.2 h decay is not HybridDish. Do not present 0.0033 as measured extracellular AHL hydrolysis.
AHL_source_position,"(500,250,5)",um,"BSimHybridDish.java:97-99 AC_POSITIONS[1]",source layout,ENGINEERING_DESIGN,Claim one-AHL source at dish center,,,HYPOTHETICAL_DESIGN_ENVELOPE,yes,Single-source position is an architecture choice. Not a multi-AC layout.
AHL_source_rate,1.28e8,molecules/s,"BSimHybridDish.java:59; sim_config.properties field.ahl.source.rate",source strength,ENGINEERING_DESIGN,Occupancy operating point; rate scout NO_STORY_MOVE in SWEEP_DECISIONS.md,,,NO_DEFENSIBLE_RANGE,no,Command 1 injects this rate for 75 s. Not a converted wet-lab flux.
AHL_command_map,J=rate*u,molecules/s,"BSimHybridDish.java:388-392",source command,ENGINEERING_DESIGN,Piecewise-constant window command,,,NO_DEFENSIBLE_RANGE,no,u in [0,1]; warmup uses 0.5.
pulse_duration,75,s,"BSimHybridDish.java:47; sim_config.properties pulse.duration.s",timing,ENGINEERING_DESIGN,Frozen 75/300 s protocol,,,NO_DEFENSIBLE_RANGE,no,Changing pulse width changes payload and task-to-kinetics ratio.
window_duration,300,s,"BSimHybridDish.java:47; sim_config.properties window.duration.s",timing,ENGINEERING_DESIGN,Frozen protocol,,,NO_DEFENSIBLE_RANGE,no,Changing duration is a separately named protocol.
warmup,18000,s,"BSimHybridDish.java:47; sim_config.properties warmup.s",timing,ENGINEERING_DESIGN,60 windows at u=0.5,,,NO_DEFENSIBLE_RANGE,no,Intended to reach occupancy plateau before scoring.
warmup_ahl_input,0.5,command,"BSimHybridDish.java:49; sim_config.properties warmup.ahl.input",timing,ENGINEERING_DESIGN,Frozen config,,,NO_DEFENSIBLE_RANGE,no,Silent arm zeros this rate.
num_windows,200,windows,"BSimHybridDish.java:50; sim_config.properties num.windows",timing,ENGINEERING_DESIGN,Claim NARMA length,,,NO_DEFENSIBLE_RANGE,yes,More windows change sample size without changing the biological clock.
sampling_interval,20,s,"BSimHybridDish.java:48; sim_config.properties sampling.interval.s",observation,ENGINEERING_DESIGN,16 in-window samples plus last row near 299.95 s,,,NO_DEFENSIBLE_RANGE,no,Must match VoxelAnalyzer for validation.
run_length,78000,s,derived WARMUP+NUM_WINDOWS*WINDOW_DURATION,timing,DERIVED,18000+200*300,,,PHYSICALLY_CONSTRAINED,no,Implemented simulationTime.
